Mass,RT
247.1319,6.89
247.9331,4.11
247.9577,3.73
247.9882,4.84
247.9888,3.99
248.0695,3.55
248.0895,2.47
248.1051,3.54
248.1052,2.69
248.123,2.81
248.141,3.9
248.1411,4.63
248.1412,5.23
248.1618,3.8
248.1771,5.38
248.1773,9.3
248.1774,7.89
248.9692,4.83
248.9714,5.58
249.0871,10.57
249.0873,6.13
249.0877,3.72
249.1071,2.76
249.1311,3.34
249.1807,7.89
249.1808,9.3
249.5889,6.13
249.9532,4.23
249.9674,10.61
249.9677,1.47
250.0298,4.39
250.0666,4.71
250.0843,1.11
250.0856,2.97
250.0861,10.55
250.0868,6.14
250.1205,3.03
250.1205,3.58
250.1205,4.18
250.1232,5.11
250.1564,5.01
250.1566,4.49
250.1569,6
250.1928,8.6
250.193,9.88
250.5879,6.13
250.9653,4.83
251.088,1.16
251.1109,2.96
251.1157,2.75
251.1225,3.28
251.1264,5.04
251.1518,9.68
251.1597,6.02
251.9494,4.23
251.9831,6.07
252.0637,1.17
252.0665,9.36
252.0665,10.78
252.0666,6.1
252.0666,10.05
252.0667,7.35
252.083,3.54
252.0997,1.13
252.0998,2.63
252.0998,3.31
252.1024,5.25
252.1206,5.05
252.1358,4.86
252.1359,3.3
252.1359,4.13
252.1719,9.94
252.1721,5.54
252.2085,9.34
253.0538,3.68
253.0672,7.37
253.0674,6.11
253.0674,10.78
253.1392,3.31
253.1678,4.45
253.2119,9.34
254.0613,3.71
254.064,6.08
254.0643,10.53
254.0643,10.82
254.0645,7.39
254.079,2.65
254.0793,1.17
254.0821,10.97
254.1037,2.5
254.1108,5.45
254.1151,2.8
254.1492,6.57
254.1512,10.57
254.1514,3.76
254.1515,4.52
254.1872,5.34
254.1882,6.4
254.2242,10.26
255.0826,10.94
255.1132,2.61
255.1135,3.2
255.118,2.47
255.1416,3.37
255.1539,3.41
255.6145,2.23
255.9537,4.2
255.9932,5.53
256.0333,3.79
256.0405,1.14
256.073,7.14
256.0747,2.67
256.0751,3.22
256.0764,4.75
256.0797,10.94
256.0943,1.15
256.0947,2.59
256.0951,6.3
256.1129,5.8
256.1191,3.16
256.1191,3.77
256.1203,2.49
256.1308,2.75
256.1309,3.46
256.131,4.33
256.167,4.58
256.167,5.11
256.2035,6.38
256.2036,5.71
256.2398,10.73
256.24,5.22
256.24,6.75
256.6222,2.43
256.9521,4.21
257.0726,3.19
257.1289,2.61
257.1342,3.45
257.1624,4.83
257.1706,4.32
257.2367,10.15
257.2432,10.71
257.2434,6.7
257.6301,2.61
257.9929,4.34
257.9981,3.85
258.0028,1.75
258.0087,5.58
258.0111,2.51
258.0529,3.44
258.0559,1.17
258.0563,2.22
258.0735,1.14
258.0741,2.65
258.0893,4.34
258.0916,2.74
258.0946,3.22
258.11,2.58
258.1102,1.11
258.1463,3.37
258.1612,7.46
258.1824,5.05
258.1825,5.76
258.1826,4.54
258.1832,6.71
258.219,7.38
258.2346,9.74
258.2462,6.75
258.2464,10.77
259.0925,4.33
259.1206,3.4
259.1422,2.49
259.178,2.63
259.9882,5.56
260.0081,3.82
260.0698,2.68
260.0871,4.4
260.1058,3.48
260.1079,5.79
260.1246,3.18
260.1258,1.13
260.141,4.36
260.1619,3.75
260.1983,5.32
260.1984,4.53
260.1985,8.27
261.1055,2.74
261.1111,5.78
261.1364,3.3
261.2019,8.27
261.9317,1.1
261.9534,1.07
261.9534,4.67
261.954,4.03
262.0198,4.49
262.0767,3.99
262.0851,2.76
262.1024,2.67
262.1202,1.16
262.1207,3.48
262.1316,4.6
262.1405,3.53
262.1415,2.47
262.1419,4.62
262.1566,4.7
262.1776,4.14
262.9613,4.22
262.9684,4.23
263.1105,1.48
263.1109,3.09
263.111,2.52
263.612,2.47
263.6121,3.12
263.9256,3.55
263.9475,1.07
263.9831,4.33
263.9993,5.09
264.0172,4.46
264.0643,1.89
264.0644,1.15
264.0819,5.44
264.1,2.11
264.1003,2.72
264.1005,3.18
264.1178,2.3
264.118,3.42
264.1358,3.03
264.1363,4.32
264.1375,4.99
264.1469,2.57
264.1564,2.46
264.1575,3.49
264.1721,5.29
264.1723,5.99
264.2085,9.21
264.6196,3.35
264.6198,2.04
264.9638,5.42
264.9866,4.33
265.0847,5.42
265.0952,3.29
265.1274,2.37
265.1393,3.12
265.2582,7.46
265.6279,2.24
265.9226,3.55
265.9481,4.56
265.9718,4.67
266.0604,3.42
266.0795,1.13
266.1153,2.79
266.1157,4.26
266.1516,2.68
266.1516,3.44
266.1518,4.28
266.1544,10.56
266.1549,7.5
266.1643,5.21
266.1874,5.28
266.1878,5.84
266.224,10.03
267.1186,2.21
267.1545,3.42
267.1549,2.59
267.1582,7.51
267.9198,3.55
267.9636,4.34
267.9968,3.81
268.0767,3.89
268.0799,1.1
268.086,3.64
268.0946,1.1
268.0947,2.46
268.0947,2.61
268.113,5.51
268.1305,4.44
268.1307,1.13
268.1308,2.99
268.1309,2.45
268.1514,10.55
268.1519,7.51
268.1671,3.99
268.1671,5.2
268.2016,9.85
268.2033,6.55
268.2036,7.21
268.2398,10.92
269.1346,3.41
269.2432,10.92
269.9511,4.59
269.9899,5.19
269.9901,5.97
269.9901,6.88
270.0482,3.97
270.0562,1.16
270.074,1.14
270.077,10.2
270.0771,10.88
270.0772,2.35
270.0772,6.1
270.0895,2.76
270.0918,3.58
270.0936,5.52
270.0944,4.73
270.1025,4.02
270.1101,1.1
270.1102,2.58
270.1283,6.32
270.1462,3.64
270.1826,10.59
270.1828,4.78
270.1828,5.39
270.2191,7.1
270.2191,8.34
270.2192,7.87
270.2555,9.63
270.2555,10.2
270.9934,5.2
271.0776,10.87
271.0778,6.09
271.0778,10.2
271.1086,2.43
271.1091,1.1
271.1257,3.26
271.1495,3.46
271.1841,4.95
271.1861,5.6
271.2589,10.2
271.9566,4.65
271.9872,5.35
272.0683,5.6
272.0695,3.6
272.0708,4.12
272.0715,2.44
272.0717,1.16
272.0746,10.21
272.0748,6.07
272.0893,1.12
272.0897,2.5
272.0997,4.03
272.105,4.44
272.1056,1.16
272.1068,3.1
272.1151,2.37
272.1257,2.62
272.1258,1.12
272.1618,3.7
272.1887,5.63
272.1978,5.12
272.2346,7.5
272.2347,10.85
272.2348,8.21
272.9554,4.59
272.9895,3.67
273.1003,2.58
273.1079,4.44
273.1117,2.34
273.1235,2.44
273.1423,3.56
273.1937,5.73
273.9701,4.97
273.988,4.66
274.0236,4.1
274.0694,5.34
274.0851,3.07
274.0855,2.49
274.105,1.11
274.1088,2.48
274.121,3.64
274.1407,3.32
274.1566,4.51
274.1566,5.09
274.1678,7.02
274.1682,8.11
274.1772,4.34
274.1774,3.3
274.1778,7.01
274.1924,10.58
274.1928,8.09
274.1935,5.56
274.9686,4.84
275.1159,2.8
275.947,1.59
275.9821,6.08
275.9831,4.71
275.9869,3.15
275.9891,2.53
275.9996,5.3
276.0031,4.65
276.0479,3.96
276.0659,1.16
276.1006,3.01
276.1006,4.55
276.1071,2.39
276.1197,2.6
276.136,3.47
276.1363,4.29
276.1566,3.62
276.1571,5.34
276.172,5.31
276.1721,4.63
276.1748,7.01
276.1932,4.81
276.2085,9.18
276.2086,5.26
